Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Acura,ILX,Compact,2.4,4,AM8,Z,9.9,7,8.6,33,199
Acura,NSX,Two-seater,3.5,6,AM9,Z,11.1,10.8,11,26,256
Acura,RDX SH-AWD,SUV: Small,2,4,AS10,Z,11,8.6,9.9,29,232
Acura,RDX SH-AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,27,242
Acura,TLX SH-AWD,Compact,2,4,AS10,Z,11.2,8,9.8,29,230
Acura,TLX SH-AWD A-SPEC,Compact,2,4,AS10,Z,11.3,8.1,9.8,29,231
Acura,TLX Type S,Compact,3,6,AS10,Z,12.3,9.4,11,26,256
Acura,TLX Type S (Performance Tire),Compact,3,6,AS10,Z,12.3,9.8,11.2,25,261
Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,32,205
Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,9.2,31,217
Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271
Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,30,218
Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,29,226
Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288
Aston Martin,DB11 V8,Minicompact,4,8,A8,Z,13,9.8,11.5,25,271
Aston Martin,DB11 AMR,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,21,312
Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324
Aston Martin,DBX V8,SUV: Standard,4,8,A9,Z,17.1,12.8,15.2,19,357
Aston Martin,Vantage V8,Two-seater,4,8,A8,Z,13.1,9.6,11.5,25,270
Aston Martin,Vantage V8,Two-seater,4,8,M7,Z,16.7,11.2,14.2,20,333
Audi,A4 Sedan 40 TFSI quattro,Compact,2,4,AM7,Z,9.3,7,8.3,34,194
Audi,A4 Sedan 45 TFSI quattro,Compact,2,4,AM7,Z,9.8,7.6,8.8,32,205
Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2,4,AM7,Z,9.8,7.9,8.9,32,208
Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2,4,AM7,Z,10.4,7.5,9.1,31,212
Audi,A5 Coupe 45 TFSI quattro,Subcompact,2,4,AM7,Z,9.8,7.6,8.8,32,205
Audi,A5 Sportback 45 TFSI quattro,Mid-size,2,4,AM7,Z,9.8,7.6,8.8,32,205
Audi,A6 Sedan 45 TFSI quattro,Mid-size,2,4,AM7,Z,10.3,7.8,9.2,31,214
Audi,A6 Sedan 55 TFSI quattro,Mid-size,3,6,AM7,Z,10.9,8.2,9.7,29,227
Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3,6,AM7,Z,11.8,9.1,10.6,27,247
Audi,A7 Sportback 55 TFSI quattro,Mid-size,3,6,AM7,Z,10.9,8.2,9.7,29,227
Audi,A8 L Sedan 55 TFSI quattro,Full-size,3,6,AS8,Z,13.5,8.9,11.5,25,267
Audi,A8 L Sedan 60 TFSI quattro,Full-size,4,8,AS8,Z,15.4,10.4,13.2,21,308
Audi,Q3 40 TFSI quattro,SUV: Small,2,4,AS8,X,10.6,7.7,9.3,30,218
Audi,Q3 45 TFSI quattro,SUV: Small,2,4,AS8,X,11.7,8.4,10.2,28,239
Audi,Q5 45 TFSI quattro,SUV: Small,2,4,AM7,Z,10.1,8.3,9.3,30,217
Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,2,4,AM7,Z,10.1,8.3,9.3,30,217
Audi,Q7 45 TFSI quattro,SUV: Standard,2,4,AS8,Z,12.4,10.1,11.3,25,264
Audi,Q7 55 TFSI quattro,SUV: Standard,3,6,AS8,Z,13.4,10.4,12,24,281
Audi,Q8 55 TFSI quattro,SUV: Standard,3,6,AS8,Z,13.4,10.4,12,24,281
Audi,R8 Coupe,Two-seater,5.2,10,AM7,Z,17.2,10.2,14.1,20,329
Audi,R8 Coupe quattro,Two-seater,5.2,10,AM7,Z,17.6,12,15.1,19,353
Audi,R8 Spyder,Two-seater,5.2,10,AM7,Z,17.2,10.2,14.1,20,329
Audi,R8 Spyder quattro,Two-seater,5.2,10,AM7,Z,17.6,12,15.1,19,353
Audi,RS 5 Coupe quattro,Subcompact,2.9,6,AS8,Z,13.1,9.5,11.5,25,269
Audi,RS 5 Sportback quattro,Mid-size,2.9,6,AS8,Z,13.1,9.3,11.4,25,266
Audi,RS 6 Avant quattro,Station wagon: Mid-size,4,8,AS8,Z,16.1,10.7,13.7,21,319
Audi,RS 7 Sportback quattro,Mid-size,4,8,AS8,Z,16,10.5,13.5,21,315
Audi,RS Q8 quattro,SUV: Standard,4,8,AS8,Z,18,12.3,15.4,18,360
Audi,S4 Sedan quattro,Compact,3,6,AS8,Z,11.5,8.5,10.1,28,237
Audi,S5 Cabriolet quattro,Subcompact,3,6,AS8,Z,11.7,8.9,10.5,27,244
Audi,S5 Coupe quattro,Subcompact,3,6,AS8,Z,11.5,8.5,10.1,28,237
Audi,S5 Sportback quattro,Mid-size,3,6,AS8,Z,11.5,8.5,10.1,28,237
Audi,S6 Sedan quattro,Mid-size,2.9,6,AS8,Z,12.9,8.5,10.9,26,255
Audi,S7 Sportback quattro,Mid-size,2.9,6,AS8,Z,12.9,8.5,10.9,26,255
Audi,S8 Sedan quattro,Full-size,4,8,AS8,Z,17.6,10.7,14.5,19,339
Audi,SQ5 quattro,SUV: Small,3,6,AS8,Z,13.1,9.9,11.6,24,274
Audi,SQ5 Sportback quattro,SUV: Small,3,6,AS8,Z,13.1,9.9,11.6,24,274
Audi,SQ7 quattro,SUV: Standard,4,8,AS8,Z,16,11.4,13.9,20,324
Audi,SQ8 quattro,SUV: Standard,4,8,AS8,Z,16,11.4,13.9,20,324
Audi,TT Coupe 45 TFSI quattro,Subcompact,2,4,AM7,X,10.4,7.8,9.2,31,216
Audi,TT Roadster 45 TFSI quattro,Two-seater,2,4,AM7,X,10.4,7.8,9.2,31,216
Audi,TT RS Coupe quattro,Subcompact,2.5,5,AM7,Z,11.6,8,10,28,232
Audi,TTS Coupe quattro,Subcompact,2,4,AM7,Z,10.4,8.2,9.4,30,220
Bentley,Bentayga,SUV: Standard,4,8,AS8,Z,15.8,9.9,13.2,21,309
Bentley,Bentayga,SUV: Standard,6,12,AS8,Z,19,13,16.3,17,383
Bentley,Continental GT,Subcompact,4,8,AM8,Z,15,9,12.3,23,290
Bentley,Continental GT,Subcompact,6,12,AM8,Z,19,11.6,15.7,18,364
Bentley,Continental GT Convertible,Minicompact,4,8,AM8,Z,15,9,12.3,23,290
Bentley,Continental GT Convertible,Minicompact,6,12,AM8,Z,19.2,12.2,16,18,373
Bentley,Flying Spur,Mid-size,4,8,AM8,Z,15.5,11.6,13.7,21,323
Bentley,Flying Spur,Mid-size,6,12,AM8,Z,19.2,12.2,16,18,373
BMW,228i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.2,7.2,8.8,32,206
BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,Z,11.2,7.7,9.6,29,225
BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,11.2,7.7,9.6,29,225
BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,9.5,6.9,8.3,34,195
BMW,430i xDrive Coupe,Subcompact,2,4,AS8,Z,10,7.1,8.7,32,202
BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,10.1,7.5,8.9,32,206
BMW,540i xDrive Sedan,Full-size,3,6,AS8,Z,10.3,7.6,9.1,31,211
BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,Z,14,9.7,12,24,281
BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,14,9.7,12,24,281
BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,Z,14,9.7,12,24,281
BMW,Alpina XB7,SUV: Standard,4.4,8,AS8,Z,15.7,11.5,13.8,20,321
BMW,M2 Competition,Subcompact,3,6,AM7,Z,14.3,10.4,12.6,22,293
BMW,M2 Competition,Subcompact,3,6,M6,Z,13.4,9.6,11.7,24,273
