Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),Model_consumption,Cluster
0,143,0,2.4,4,7,3,8.6,199,0,0
0,191,13,3.5,6,8,3,11.0,256,0,1
0,224,11,2.0,4,9,3,9.9,232,1,0
0,224,11,2.0,4,9,3,10.3,242,1,0
0,275,0,2.0,4,9,3,9.8,230,1,0
0,275,0,2.0,4,9,3,9.8,231,1,0
0,287,0,3.0,6,9,3,11.0,256,0,1
0,287,0,3.0,6,9,3,11.2,261,0,1
1,124,2,2.0,4,3,3,8.7,205,0,0
1,124,2,2.0,4,3,3,9.2,217,1,0
1,124,2,2.9,6,3,3,11.6,271,0,1
1,260,11,2.0,4,3,3,9.3,218,0,0
1,260,11,2.0,4,3,3,9.6,226,1,0
1,260,11,2.9,6,3,3,12.3,288,1,1
2,87,3,4.0,8,3,3,11.5,271,1,1
2,87,3,5.2,12,3,3,13.3,312,0,2
2,89,3,5.2,12,3,3,13.8,324,0,2
2,90,12,4.0,8,4,3,15.2,357,1,2
2,292,13,4.0,8,3,3,11.5,270,1,1
2,292,13,4.0,8,23,3,14.2,333,1,2
3,272,0,2.0,4,6,3,8.3,194,1,0
3,272,0,2.0,4,6,3,8.8,205,1,0
3,272,9,2.0,4,6,3,8.9,208,1,0
3,272,10,2.0,4,6,3,9.1,212,1,0
3,272,10,2.0,4,6,3,8.8,205,1,0
3,272,2,2.0,4,6,3,8.8,205,1,0
3,272,2,2.0,4,6,3,9.2,214,1,0
3,272,2,3.0,6,6,3,9.7,227,1,1
3,272,8,3.0,6,6,3,10.6,247,1,1
3,272,2,3.0,6,6,3,9.7,227,1,1
3,272,1,3.0,6,13,3,11.5,267,1,1
3,272,1,4.0,8,13,3,13.2,308,1,2
3,272,11,2.0,4,13,2,9.3,218,1,0
3,272,11,2.0,4,13,2,10.2,239,1,0
3,272,11,2.0,4,6,3,9.3,217,1,0
3,272,11,2.0,4,6,3,9.3,217,1,0
3,272,12,2.0,4,13,3,11.3,264,1,0
3,272,12,3.0,6,13,3,12.0,281,1,1
3,272,12,3.0,6,13,3,12.0,281,1,1
3,219,13,5.2,10,6,3,14.1,329,0,2
3,219,13,5.2,10,6,3,15.1,353,1,2
3,219,13,5.2,10,6,3,14.1,329,0,2
3,219,13,5.2,10,6,3,15.1,353,1,2
3,231,10,2.9,6,13,3,11.5,269,1,1
3,255,2,2.9,6,13,3,11.4,266,1,1
3,231,8,4.0,8,13,3,13.7,319,1,2
3,255,2,4.0,8,13,3,13.5,315,1,2
3,231,12,4.0,8,13,3,15.4,360,1,2
3,235,0,3.0,6,13,3,10.1,237,1,1
3,236,10,3.0,6,13,3,10.5,244,1,1
3,236,10,3.0,6,13,3,10.1,237,1,1
3,255,2,3.0,6,13,3,10.1,237,1,1
3,237,2,2.9,6,13,3,10.9,255,1,1
3,255,2,2.9,6,13,3,10.9,255,1,1
3,240,1,4.0,8,13,3,14.5,339,1,2
3,256,11,3.0,6,13,3,11.6,274,1,1
3,255,11,3.0,6,13,3,11.6,274,1,1
3,257,12,4.0,8,13,3,13.9,324,1,2
3,258,12,4.0,8,13,3,13.9,324,1,2
3,272,10,2.0,4,6,2,9.2,216,1,0
3,272,13,2.0,4,6,2,9.2,216,1,0
3,231,10,2.5,5,6,3,10.0,232,1,0
3,283,10,2.0,4,6,3,9.4,220,1,0
4,43,12,4.0,8,13,3,13.2,309,0,2
4,43,12,6.0,12,13,3,16.3,383,0,2
4,64,10,4.0,8,7,3,12.3,290,0,2
4,64,10,6.0,12,7,3,15.7,364,0,2
4,64,3,4.0,8,7,3,12.3,290,0,2
4,64,3,6.0,12,7,3,16.0,373,0,2
4,115,2,4.0,8,7,3,13.7,323,0,2
4,115,2,6.0,12,7,3,16.0,373,0,2
5,2,0,2.0,4,13,3,8.8,206,1,0
5,3,10,2.0,4,13,3,9.6,225,0,0
5,3,10,2.0,4,13,3,9.6,225,0,0
5,7,0,2.0,4,13,3,8.3,195,0,0
5,11,10,2.0,4,13,3,8.7,202,0,0
5,18,2,2.0,4,13,3,8.9,206,0,0
5,19,1,3.0,6,13,3,9.1,211,0,1
5,24,1,4.4,8,13,3,12.0,281,0,2
5,25,1,4.4,8,13,3,12.0,281,0,2
5,32,1,4.4,8,13,3,12.0,281,0,2
5,32,12,4.4,8,13,3,13.8,321,0,2
5,63,10,3.0,6,6,3,12.6,293,0,1
5,63,10,3.0,6,22,3,11.7,273,0,1
5,158,0,2.0,4,13,3,9.2,213,1,0
5,159,10,3.0,6,13,3,9.8,228,0,1
5,159,10,3.0,6,13,3,9.8,228,0,1
5,161,0,3.0,6,13,3,9.2,214,0,1
5,165,10,3.0,6,13,3,9.2,214,0,1
5,166,2,4.4,8,13,3,13.8,323,0,2
5,63,2,4.4,8,13,3,13.8,323,0,2
5,167,2,4.4,8,13,3,11.7,272,0,2
5,168,1,6.6,12,13,3,15.1,354,0,2
5,169,10,4.4,8,13,3,13.8,323,0,2
5,63,10,4.4,8,13,3,13.8,323,0,2
5,169,10,4.4,8,13,3,13.8,323,0,2
5,63,10,4.4,8,13,3,13.8,323,0,2
5,169,2,4.4,8,13,3,13.8,323,1,2
5,63,2,4.4,8,13,3,13.8,323,1,2
5,170,10,4.4,8,13,3,12.0,281,0,2
5,170,10,4.4,8,13,3,11.7,272,0,2
5,170,2,4.4,8,13,3,12.0,281,1,2
5,313,11,2.0,4,13,3,9.1,213,0,0
5,304,11,2.0,4,13,3,8.8,205,0,0
5,304,11,2.0,4,13,3,8.9,209,0,0
5,305,11,2.0,4,13,3,9.3,217,0,0
5,305,11,3.0,6,13,3,14.6,339,0,1
5,63,11,3.0,6,13,3,14.6,339,0,1
5,305,11,3.0,6,13,3,10.1,235,0,1
5,306,11,2.0,4,13,3,9.3,217,0,0
5,306,11,3.0,6,13,3,14.6,339,0,1
5,63,11,3.0,6,13,3,14.6,339,0,1
5,306,11,3.0,6,13,3,10.1,235,0,1
5,307,12,3.0,6,13,3,10.4,242,0,1
5,307,12,4.4,8,13,3,15.7,364,0,2
5,63,12,4.4,8,13,3,15.7,364,0,2
5,307,12,4.4,8,13,3,12.7,302,0,2
5,308,12,3.0,6,13,3,10.4,242,0,1
5,308,12,4.4,8,13,3,15.7,364,0,2
5,63,12,4.4,8,13,3,15.7,364,0,2
5,308,12,4.4,8,13,3,12.7,302,0,2
5,314,12,3.0,6,13,3,11.1,256,0,1
5,309,12,4.4,8,13,3,13.8,321,0,2
5,320,13,2.0,4,13,3,8.4,197,0,0
5,164,13,3.0,6,13,3,9.5,221,0,1
6,57,13,8.0,16,6,3,22.2,522,0,2
6,57,13,8.0,16,6,3,26.1,608,1,2
7,100,12,3.6,6,4,2,11.2,264,0,1
7,100,12,3.6,6,4,2,11.8,277,1,1
7,101,11,1.4,4,11,2,8.7,204,0,0
7,101,11,1.4,4,11,2,8.6,203,0,0
7,101,11,1.4,4,11,2,9.1,214,1,0
7,101,11,1.4,4,11,2,9.1,214,1,0
7,101,11,1.2,3,15,2,8.0,188,0,0
7,101,11,1.3,3,4,2,8.5,199,1,0
7,102,11,2.0,4,14,2,8.9,209,0,0
7,102,11,2.0,4,14,2,9.5,222,1,0
8,74,0,2.0,4,13,3,8.7,203,0,0
8,74,0,2.7,4,9,3,9.5,221,0,0
8,74,0,2.0,4,13,3,9.1,213,1,0
8,74,0,2.7,4,9,3,9.9,232,1,0
8,75,0,2.7,4,9,3,10.0,234,0,0
8,75,0,2.7,4,9,3,10.2,239,1,0
8,76,2,2.0,4,9,3,9.0,209,0,0
8,76,2,3.0,6,9,3,10.6,249,0,1
8,76,2,2.0,4,9,3,9.5,242,1,0
8,76,2,3.0,6,9,3,11.1,260,1,1
8,77,2,3.0,6,9,3,10.9,256,0,1
8,77,2,3.0,6,9,3,11.1,260,1,1
8,106,12,3.0,6,0,0,10.6,277,1,1
8,106,12,6.2,8,0,3,14.8,347,1,2
8,106,12,6.2,8,0,3,15.3,357,1,2
8,315,11,2.0,4,14,3,8.9,209,0,0
8,315,11,2.0,4,14,3,9.7,227,1,0
8,316,11,2.0,4,14,3,9.5,222,0,0
8,316,11,2.0,4,14,3,10.1,237,1,0
8,316,11,3.6,6,14,2,11.2,263,1,1
8,317,11,2.0,4,14,3,10.2,239,1,0
8,317,11,3.6,6,14,2,11.5,269,1,1
9,45,11,2.0,4,4,2,9.4,221,0,0
9,45,11,2.5,4,4,2,10.2,238,0,0
9,45,11,3.6,6,4,2,10.5,247,0,1
9,45,11,2.0,4,4,2,9.7,227,1,0
9,45,11,3.6,6,4,2,10.9,256,1,1
9,49,10,2.0,4,13,3,9.5,222,0,0
9,49,10,2.0,4,22,3,10.5,247,0,0
9,49,10,3.6,6,9,2,10.7,251,0,1
9,49,10,3.6,6,22,2,12.0,281,0,1
9,49,10,6.2,8,9,3,12.0,281,0,2
9,49,10,6.2,8,22,3,12.6,296,0,2
9,49,10,6.2,8,9,3,15.1,355,0,2
9,49,10,6.2,8,22,3,14.8,349,0,2
9,61,5,2.5,4,1,2,10.9,257,0,0
9,61,5,2.8,4,1,0,10.1,294,0,0
9,61,5,3.6,6,3,2,11.3,263,0,1
9,61,5,2.5,4,1,2,11.4,268,1,0
9,61,5,2.8,4,1,0,10.5,294,1,0
9,61,5,3.6,6,3,2,12.1,284,1,1
9,61,5,2.8,4,1,0,12.1,326,1,1
9,61,5,3.6,6,3,2,14.1,329,1,1
9,69,13,6.2,8,13,3,12.4,290,0,2
9,104,11,1.5,4,1,2,8.4,198,0,0
9,104,11,1.5,4,1,2,8.8,207,1,0
9,172,2,1.5,4,15,2,7.5,175,0,0
9,172,2,2.0,4,4,3,9.1,213,0,0
9,249,6,2.7,4,3,2,11.2,263,0,0
9,249,6,2.7,4,3,2,11.2,263,0,0
9,249,6,3.0,6,0,0,8.8,238,0,1
9,249,6,4.3,6,1,2,13.5,318,0,1
9,249,6,5.3,8,1,2,13.8,325,0,2
9,249,6,5.3,8,1,2,14.3,336,0,2
9,249,6,5.3,8,1,2,14.5,340,0,2
9,249,6,5.3,8,1,1,19.0,315,0,2
9,249,6,5.3,8,3,2,12.2,286,0,2
9,249,6,5.3,8,3,2,13.6,319,0,2
9,249,6,2.7,4,3,2,11.7,275,1,1
9,249,6,2.7,4,3,2,11.7,275,1,1
9,249,6,3.0,6,0,0,10.0,268,1,1
9,249,6,4.3,6,1,2,14.0,329,1,1
9,249,6,4.3,6,1,2,14.8,347,1,1
9,249,6,5.3,8,1,2,14.1,331,1,2
9,249,6,5.3,8,1,2,14.8,348,1,2
9,249,6,5.3,8,1,2,14.8,347,1,2
9,249,6,5.3,8,1,1,19.5,326,1,2
9,249,6,5.3,8,1,2,15.0,350,1,2
9,249,6,5.3,8,1,2,15.7,368,1,2
9,249,6,5.3,8,3,2,12.7,299,1,2
